Response ID,Birth Year,Gender,Job Tenure,Industry,Occupation,Organization Size,Household Type,Metro or Regional,Remote Q4 2020,Preferred Remote Q4 2020,Remote This Year,Preferred Remote This Year,Post-COVID Remote,Remote Policy Change,Part-Remote Past 6 Months,Part-Remote Frequency,Part-Remote Preference,Mandatory Workplace Presence,Mandatory Workplace Time,Remote Policy Suitability,Remote Work Choice,Remote Workday Choice,Manager Discretion,Remote Policy Satisfaction,Encouragement of Remote Work,Organization Readiness,Common Remote Work,Ease of Remote Permission,Remote Collaboration,Remote Promotion Concerns,Remote Break Frequency,Employer's Remote Impact,Remote Work Support,Remote Work Encouragement,Remote Work Support Changes,Workplace Time Allocation,Workplace Preparation Time,Workplace Working Time,Workplace Care Responsibilities,Workplace Personal Time,Workplace Sleep Time,Remote Prep and Commute,Remote Working Time,Remote Care Responsibilities,Remote Personal Time,Remote Sleep Time,Pay Cut for Remote Option,Maximum Pay Cut Accepted,Remote Working Barriers (Caring),Change in Connectivity Barrier,Change in Org. Software & Systems Barrier,Change in Collaboration Barrier,Change in Poor Management Barrier,Change in IT Equipment Barrier,Change in Isolation Barrier,Change in Extra Costs Barrier,Change in Cyber Security Barrier,Change in Incompatible Tasks Barrier,Change in Workspace Barrier,Change in Motivation Barrier,Change in Management's Attitude Barrier,Change in Living Situation Barrier,Change in Remote Work Skills Barrier,Change in Health & Safety Barrier,Colleague Remote Work Barriers (Biggest),Colleague Remote Work Barriers (Smallest),Colleague Remote Work Barriers (Biggest 2),Colleague Remote Work Barriers (Smallest 2),Colleague Remote Work Barriers (Biggest 3),Colleague Remote Work Barriers (Smallest 3),Colleague Remote Work Barriers (Biggest 4),Colleague Remote Work Barriers (Smallest 4),Colleague Remote Work Barriers (Biggest 5),Colleague Remote Work Barriers (Smallest 5),Performance of Tasks in Remote Work (Manager Communication),Performance of Tasks in Remote Work (Colleague Communication),Performance of Tasks in Remote Work (Decision Making),Performance of Tasks in Remote Work (Problem Solving),Performance of Tasks in Remote Work (Creativity & Innovation),Performance of Tasks in Remote Work (Technology Use),Performance of Tasks in Remote Work (Time Management),Performance of Tasks in Remote Work (Stress Management),Performance of Tasks in Remote Work (Networking),Performance of Tasks in Remote Work (Team Leadership),Performance of Tasks in Remote Work (Conflict Management),Performance of Tasks in Remote Work (People Management),Performance of Tasks in Remote Work (Presentation Skills),Performance of Tasks in Remote Work (Writing Skills),Performance of Tasks in Remote Work (Analysis & Reporting),Performance of Tasks in Remote Work (Project Management),Performance of Tasks in Remote Work (Financial Management),Performance of Tasks in Remote Work (Productivity & Efficiency),Performance of Tasks in Remote Work (Adaptation to Change),Performance of Tasks in Remote Work (Learning),Performance of Tasks in Remote Work (Self-Motivation),Performance of Tasks in Remote Work (Health & Safety),Performance of Tasks in Remote Work (Networking)_1,Performance of Tasks in Remote Work (Stress Management)_1,Biggest Personal Remote Work Barrier,Economic Impact of Remote Work,Societal Impact of Remote Work,Environmental Impact of Remote Work,Personal Wellbeing Impact of Remote Work,Income/Career Impact of Remote Work,Productivity Impact of Remote Work,Work-Life Balance Impact of Remote Work,Biggest Personal Positive Impact of Remote Work,Biggest Personal Negative Impact of Remote Work
825,1972,Male,More than 5 years,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,Less than 10% of my time,Less than 10% of my time,20%,20%,I would prefer not to work remotely,Yes,No,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat Negative,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat Negative,They are about the same,Somewhat likely,Neither unlikely or likely,Very unlikely,2.0,8.0,5.0,3.0,6.0,0.5,6.0,5.0,5.5,7.0,No,0.1,Stayed about the same,Somewhat worsened,Stayed about the same,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat improved,Significantly worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat worsened,Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Lack of privacy,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat disagree,Somewhat disagree,Strongly agree,Yes,Yes,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Im 20% less productive when working remotely,Im 20% less productive when working remotely
826,1963,Male,More than 5 years,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Single person,Metro,30%,50% - About half of my time,80%,50% - About half of my time,I would prefer not to work remotely,Yes,Yes,40%,Less than 10% of my time,Yes,80%,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Negative,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly Positive,They are about the same,Very unlikely,Very unlikely,Very unlikely,3.0,8.0,2.0,0.5,10.5,0.0,8.0,2.0,4.0,10.0,No,0.1,Not a barrier for me,Not a barrier for me,Somewhat improved,Not a barrier for me,Somewhat worsened,Somewhat improved,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Significantly worsened,Somewhat worsened,Not a barrier for me,Somewhat improved,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Interruptions,Problems with audio-visual setup,Noisy work environment,Somewhat disagree,Strongly agree,Strongly agree,Yes,Yes,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Im 30% more productive when working remotely,Im 30% more productive when working remotely
827,1965,Male,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Couple with no dependent children,Metro,90%,80%,70%,80%,50% - About half of my time,Yes,Yes,Less than 10% of my time,40%,Yes,60%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat unlikely,Very unlikely,2.0,10.0,1.0,5.0,6.0,0.0,10.0,1.0,5.0,8.0,No,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Significantly worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Lack of appropriate work and meeting spaces,Lack of privacy,Difficulty collaborating with remote colleagues,Difficulty innovating,Noisy work environment,Problems with audio-visual setup,Noisy work environment,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Lack of privacy,Problems with audio-visual setup,Lack of privacy,Difficulty collaborating with remote colleagues,Difficulty innovating,Difficulty collaborating with remote colleagues,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Im 40% more productive when working remotely,Im 40% more productive when working remotely
828,1981,Male,More than 5 years,"Professional, Scientific and Technical",Sales workers - Sales Representatives and Agents,More than 200,Couple with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly Positive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly Positive,They are about the same,Very likely,Very likely,Very likely,3.0,8.0,3.0,4.0,6.0,0.0,9.0,2.0,6.0,7.0,No,0.1,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Not a barrier for me,Significantly improved,Significantly improved,Significantly improved,Noisy work environment,Interruptions,Lack of privacy,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Noisy work environment,Difficulty innovating,Noisy work environment,Interruptions,Interruptions,Connectivity/internet issues,Lack of privacy,Noisy work environment,Noisy work environment,Connectivity/internet issues,Lack of privacy,Interruptions,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Lack of privacy,Noisy work environment,Lack of privacy,Interruptions,Noisy work environment,Problems with audio-visual setup,Strongly agree,Strongly agree,Strongly agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more)
829,1965,Male,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",Between 1 and 4,Couple with no dependent children,Metro,100% - I spent all of my time remote working,90%,90%,80%,50% - About half of my time,No,Yes,Less than 10% of my time,20%,No,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Positive,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1.5,8.5,1.0,5.0,8.0,1.0,8.0,1.5,5.5,8.0,No,0.1,Not a barrier for me,Significantly improved,Stayed about the same,Somewhat improved,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Not a barrier for me,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Connectivity/internet issues,Difficulty innovating,Interruptions,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty innovating,Noisy work environment,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 10% more productive when working remotely,Im 50% more productive when working remotely (or more)
830,1981,Male,Between 1 and 5 years,"Transport, Postal and Warehousing","Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with no dependent children,Metro,90%,100% - All of my time,90%,100% - All of my time,100% - All of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,Unsure,50% - About half of my time,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Positive,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Positive,They are about the same,Somewhat unlikely,Somewhat likely,Somewhat likely,3.5,8.0,1.0,3.5,8.0,1.0,9.0,1.0,4.0,9.0,No,0.1,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Lack of privacy,Lack of appropriate work and meeting spaces,Interruptions,Lack of privacy,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Problems with audio-visual setup,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Lack of privacy,Problems with audio-visual setup,Noisy work environment,Strongly agree,Strongly agree,Strongly disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more)
831,1970,Male,Between 1 and 5 years,"Professional, Scientific and Technical","Technicians and trades workers - Engineering, ICT and Science Technicians",Between 5 and 19,Single person,Regional,Rarely or never,I would not have preferred to work remotely,Rarely or never,I would not have preferred to work remotely,I would prefer not to work remotely,Yes,No,Less than 10% of my time,Less than 10% of my time,Yes,80%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Negative,Senior leadership,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,1.0,7.0,3.0,5.0,8.0,0.5,7.0,1.0,5.5,10.0,Yes,0.3,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Significantly worsened,Significantly worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Somewhat improved,Somewhat worsened,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Interruptions,Difficulty innovating,Lack of privacy,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Interruptions,Lack of privacy,Problems with audio-visual setup,Noisy work environment,Neither agree nor disagree,Somewhat disagree,Strongly agree,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% less productive when working remotely,Im 20% less productive when working remotely
832,1976,Male,More than 5 years,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,One parent family with dependent children,Metro,100% - I spent all of my time remote working,60%,100% - I spent all of my time remote working,60%,40%,Yes,Yes,50% - About half of my time,50% - About half of my time,No,50% - About half of my time,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat Negative,Senior leadership,Neither unlikely or likely,Somewhat likely,Somewhat likely,1.0,8.0,5.0,2.0,8.0,0.5,10.0,2.0,4.5,7.0,No,0.1,Somewhat improved,Significantly improved,Somewhat improved,Significantly worsened,Somewhat worsened,Significantly worsened,Significantly worsened,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat disagree,Neither agree nor disagree,Strongly agree,Yes,Yes,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
833,1971,Male,Between 1 and 5 years,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with no dependent children,Metro,80%,100% - All of my time,80%,90%,80%,No,No,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly Positive,They are about the same,Somewhat likely,Very likely,Very likely,3.0,8.0,2.0,4.0,7.0,0.5,10.0,3.5,3.0,7.0,Yes,0.05,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat agree,Somewhat disagree,Somewhat agree,Yes,Yes,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Im 20% more productive when working remotely,Im 20% more productive when working remotely
834,1963,Female,More than 5 years,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,80%,100% - All of my time,80%,100% - All of my time,80%,Yes,Yes,50% - About half of my time,100% - All of my time,No,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,They are about the same,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,2.0,9.0,2.0,3.0,8.0,0.0,11.0,3.0,2.0,8.0,No,0.1,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more)
835,1973,Male,Between 1 and 5 years,Information Media and Telecommunications,Sales workers - Sales Representatives and Agents,More than 200,Couple with dependent children,Metro,70%,50% - About half of my time,70%,50% - About half of my time,50% - About half of my time,Yes,No,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat Positive,They are about the same,Very likely,Neither unlikely or likely,Somewhat likely,1.0,8.0,2.0,3.0,10.0,0.0,7.0,2.0,5.0,10.0,No,0.1,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,Im 50% more productive when working remotely (or more)
836,1976,Female,Between 1 and 5 years,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Group household,Metro,50% - I spent about half of my time remote working,20%,20%,40%,40%,Yes,Yes,20%,40%,No,50% - About half of my time,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,My direct manger(s),Very unlikely,Somewhat unlikely,Neither unlikely or likely,2.5,8.5,2.0,3.0,8.0,0.5,7.5,4.0,4.0,8.0,No,0.1,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of appropriate work and meeting spaces,Lack of privacy,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of privacy,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Problems with audio-visual setup,Lack of privacy,Interruptions,Lack of privacy,Difficulty collaborating with remote colleagues,Noisy work environment,Strongly agree,Strongly agree,Strongly agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% more productive when working remotely,Im 50% more productive when working remotely (or more)
837,1988,Female,Between 1 and 5 years,Information Media and Telecommunications,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Single person,Metro,100% - I spent all of my time remote working,100% - All of my time,70%,100% - All of my time,70%,Yes,Yes,70%,20%,Unsure,50% - About half of my time,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat Positive,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,4.0,8.0,2.0,4.0,6.0,1.0,8.0,2.0,5.0,8.0,Yes,0.1,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Not a barrier for me,Somewhat worsened,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Strongly agree,Strongly agree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more)
