Employee ID,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,Customer S.,Communication,Leadership D.,Project M.,Technical S.
1224,18-Mar-23,Project Management,Internal,Incomplete,Port Eric,Katelyn Ruiz,5,598.72,NO,NO,NO,YES,NO
1225,14-Aug-22,Customer Service,Internal,Completed,Brownland,Douglas Norton,5,557.02,YES,NO,NO,NO,NO
1226,20-May-23,Customer Service,Internal,Completed,Savageton,Lisa Hall,3,939.92,YES,NO,NO,NO,NO
1227,15-May-23,Communication Skills,Internal,Failed,Amandahaven,Gregory Pratt,3,669.19,NO,YES,NO,NO,NO
1228,05-Oct-22,Technical Skills,Internal,Failed,Dustinshire,Bethany Willis,5,525.69,NO,NO,NO,NO,YES
1229,11-Jan-23,Customer Service,External,Failed,Lake Melissa,Angela Moore,1,173.66,YES,NO,NO,NO,NO
1230,30-Apr-23,Communication Skills,Internal,Completed,New Reneefurt,Emily Tate,1,635.71,NO,YES,NO,NO,NO
1231,06-Aug-22,Project Management,External,Passed,Port Aliciaview,Douglas Dean,1,896.8,NO,NO,NO,YES,NO
1232,30-Nov-22,Leadership Development,Internal,Incomplete,East Katieport,Douglas Dean,4,857.61,NO,NO,YES,NO,NO
1233,29-Nov-22,Customer Service,Internal,Failed,Robertfurt,Douglas Dean,3,460.59,YES,NO,NO,NO,NO
1234,19-Feb-23,Leadership Development,Internal,Passed,Meganside,Douglas Dean,1,504.82,NO,NO,YES,NO,NO
1235,10-Apr-23,Project Management,Internal,Failed,Cookebury,Douglas Dean,3,737.91,NO,NO,NO,YES,NO
1236,17-Apr-23,Customer Service,External,Passed,Williamsbury,Douglas Dean,2,244.25,YES,NO,NO,NO,NO
1237,11-Nov-22,Leadership Development,External,Passed,Cervantesshire,Douglas Dean,2,762.82,NO,NO,YES,NO,NO
1238,14-Nov-22,Leadership Development,Internal,Incomplete,West Marialand,Douglas Dean,2,640.14,NO,NO,YES,NO,NO
1239,28-Apr-23,Project Management,Internal,Incomplete,East Alyssa,Douglas Dean,3,726.03,NO,NO,NO,YES,NO
1240,04-Jan-23,Communication Skills,Internal,Passed,East Nicoletown,Douglas Dean,5,758.75,NO,YES,NO,NO,NO
1241,01-Feb-23,Project Management,External,Failed,Lewismouth,Douglas Dean,5,878.94,NO,NO,NO,YES,NO
1242,14-Mar-23,Project Management,External,Passed,East Chaseside,Daniel Holt,3,227.9,NO,NO,NO,YES,NO
1243,05-Feb-23,Communication Skills,Internal,Incomplete,Ericmouth,Daniel Holt,3,855.27,NO,YES,NO,NO,NO
1244,18-Feb-23,Technical Skills,External,Incomplete,Mcmahonton,Daniel Holt,5,170.62,NO,NO,NO,NO,YES
1245,29-Jun-23,Communication Skills,Internal,Incomplete,Hallton,Daniel Holt,4,392.14,NO,YES,NO,NO,NO
1246,25-Dec-22,Communication Skills,Internal,Completed,Joneston,Daniel Holt,1,206.93,NO,YES,NO,NO,NO
1247,09-Dec-22,Customer Service,External,Completed,East Michaelside,Daniel Holt,5,307.13,YES,NO,NO,NO,NO
1248,24-Aug-22,Communication Skills,Internal,Passed,Ellisonchester,Daniel Holt,4,165.05,NO,YES,NO,NO,NO
1249,15-Aug-22,Communication Skills,Internal,Completed,Cruzmouth,Daniel Holt,4,371.27,NO,YES,NO,NO,NO
1250,28-Apr-23,Communication Skills,Internal,Incomplete,Margaretmouth,Daniel Holt,3,366.78,NO,YES,NO,NO,NO
1251,04-Feb-23,Communication Skills,Internal,Failed,Nancyside,Daniel Holt,5,205.92,NO,YES,NO,NO,NO
1252,20-Nov-22,Leadership Development,Internal,Completed,South Brent,Daniel Holt,1,314.51,NO,NO,YES,NO,NO
1253,03-Jun-23,Customer Service,Internal,Completed,South Cynthia,Daniel Holt,2,793.86,YES,NO,NO,NO,NO
1254,20-Apr-23,Project Management,Internal,Passed,Allisonport,Daniel Holt,3,252.53,NO,NO,NO,YES,NO
1255,23-Oct-22,Customer Service,External,Passed,West Laurafort,Daniel Holt,2,693.25,YES,NO,NO,NO,NO
1256,26-May-23,Project Management,Internal,Completed,Lake Derekburgh,Daniel Holt,4,926.76,NO,NO,NO,YES,NO
1257,23-May-23,Technical Skills,Internal,Failed,New Elizabethton,Ryan King,1,694.61,NO,NO,NO,NO,YES
1258,30-Jun-23,Project Management,Internal,Incomplete,Alyssabury,Ryan King,1,732.02,NO,NO,NO,YES,NO
1259,04-Jan-23,Leadership Development,Internal,Completed,Port Troyton,Ryan King,1,897.62,NO,NO,YES,NO,NO
1260,21-Nov-22,Leadership Development,Internal,Completed,Port Rachelshire,Ryan King,2,786.57,NO,NO,YES,NO,NO
1261,26-Jul-23,Project Management,External,Incomplete,Thompsonberg,Ryan King,3,613.93,NO,NO,NO,YES,NO
1262,17-Jan-23,Communication Skills,Internal,Passed,Lake Nancy,Ryan King,2,711.8,NO,YES,NO,NO,NO
1263,03-Mar-23,Communication Skills,Internal,Failed,Port Jason,Ryan King,5,784.1,NO,YES,NO,NO,NO
1264,16-May-23,Customer Service,Internal,Failed,Port Jameschester,Ryan King,5,509.67,YES,NO,NO,NO,NO
1265,15-Jun-23,Leadership Development,Internal,Incomplete,Rebeccamouth,Ryan King,4,494.96,NO,NO,YES,NO,NO
1266,30-Mar-23,Project Management,Internal,Incomplete,East Christopher,Ryan King,5,465.72,NO,NO,NO,YES,NO
1267,27-Feb-23,Technical Skills,Internal,Failed,Lewisview,Ryan King,1,507.43,NO,NO,NO,NO,YES
1268,25-May-23,Project Management,External,Passed,North Duanemouth,Ryan King,5,401.97,NO,NO,NO,YES,NO
1269,23-Dec-22,Customer Service,External,Passed,Lake Kevin,Ryan King,4,813.9,YES,NO,NO,NO,NO
1270,21-Aug-22,Leadership Development,External,Completed,South Michael,Carrie Anderson,2,360.02,NO,NO,YES,NO,NO
1271,15-Feb-23,Customer Service,Internal,Completed,North Sheila,Carrie Anderson,3,692.71,YES,NO,NO,NO,NO
1272,24-Feb-23,Technical Skills,Internal,Failed,Jonesside,Carrie Anderson,3,233.12,NO,NO,NO,NO,YES
1273,24-May-23,Technical Skills,External,Incomplete,New Seanberg,Carrie Anderson,1,881.48,NO,NO,NO,NO,YES
1274,22-May-23,Project Management,Internal,Passed,West Deanna,Carrie Anderson,2,448.48,NO,NO,NO,YES,NO
1275,13-Jun-23,Communication Skills,Internal,Incomplete,Port Michellechester,Carrie Anderson,3,288.88,NO,YES,NO,NO,NO
1276,15-Jul-23,Communication Skills,Internal,Failed,East Katherine,Carrie Anderson,1,572.45,NO,YES,NO,NO,NO
1277,27-Mar-23,Communication Skills,Internal,Passed,Reneeshire,Carrie Anderson,3,141.38,NO,YES,NO,NO,NO
1278,04-Feb-23,Technical Skills,Internal,Incomplete,Lake Bryan,Carrie Anderson,1,331.46,NO,NO,NO,NO,YES
1279,23-Nov-22,Technical Skills,Internal,Incomplete,New Rachelfort,Carrie Anderson,4,704.93,NO,NO,NO,NO,YES
1280,08-Jun-23,Leadership Development,External,Completed,Evanhaven,Carrie Anderson,4,450.65,NO,NO,YES,NO,NO
1281,31-Jan-23,Project Management,External,Completed,Andrewsfurt,Carrie Anderson,3,775.97,NO,NO,NO,YES,NO
1282,20-Feb-23,Leadership Development,External,Passed,Glennberg,Carrie Anderson,4,376,NO,NO,YES,NO,NO
1283,17-Jan-23,Customer Service,External,Failed,Christopherport,Carrie Anderson,2,106.54,YES,NO,NO,NO,NO
1284,10-Nov-22,Communication Skills,Internal,Completed,New Johnstad,Carrie Anderson,1,852.87,NO,YES,NO,NO,NO
1285,08-Nov-22,Project Management,External,Completed,Port Robertmouth,Carrie Anderson,4,469.03,NO,NO,NO,YES,NO
1286,28-May-23,Customer Service,Internal,Incomplete,West John,Carrie Anderson,2,274.85,YES,NO,NO,NO,NO
1287,31-Mar-23,Technical Skills,External,Completed,Patrickfort,Carrie Anderson,1,342.57,NO,NO,NO,NO,YES
1288,13-May-23,Technical Skills,External,Incomplete,North Danielle,Carrie Anderson,5,948.31,NO,NO,NO,NO,YES
1289,08-Oct-22,Leadership Development,Internal,Incomplete,Campbellmouth,Carrie Anderson,3,900.52,NO,NO,YES,NO,NO
1290,14-May-23,Leadership Development,External,Completed,East Denisechester,Carrie Anderson,4,140.72,NO,NO,YES,NO,NO
1291,12-Sep-22,Technical Skills,Internal,Passed,Williamburgh,Carrie Anderson,3,913.62,NO,NO,NO,NO,YES
1292,22-Feb-23,Customer Service,Internal,Completed,Jessicatown,Carrie Anderson,5,950.3,YES,NO,NO,NO,NO
1293,12-Mar-23,Project Management,Internal,Passed,Martinton,Carrie Anderson,2,668.77,NO,NO,NO,YES,NO
1294,15-Aug-22,Technical Skills,Internal,Passed,Michellemouth,Carrie Anderson,3,906.05,NO,NO,NO,NO,YES
1295,03-Jan-23,Communication Skills,Internal,Incomplete,Starkmouth,Carrie Anderson,5,689.77,NO,YES,NO,NO,NO
1296,05-Mar-23,Communication Skills,Internal,Passed,Clarkfort,Carrie Anderson,2,694.27,NO,YES,NO,NO,NO
1297,14-Jun-23,Project Management,External,Passed,New Joshuaton,Carrie Anderson,3,352.75,NO,NO,NO,YES,NO
1298,16-May-23,Project Management,Internal,Passed,Dudleyfurt,Carrie Anderson,3,411.17,NO,NO,NO,YES,NO
1299,21-Jan-23,Project Management,External,Completed,Atkinsonborough,Carrie Anderson,3,358.81,NO,NO,NO,YES,NO
1300,29-Apr-23,Technical Skills,Internal,Passed,Greentown,Carrie Anderson,4,588.64,NO,NO,NO,NO,YES
1301,22-Sep-22,Communication Skills,Internal,Incomplete,Ellenburgh,Carrie Anderson,1,472.18,NO,YES,NO,NO,NO
1302,20-Aug-22,Project Management,Internal,Passed,South Jennifer,Carrie Anderson,2,758.79,NO,NO,NO,YES,NO
1303,02-Jun-23,Leadership Development,Internal,Failed,Moorehaven,Carrie Anderson,3,921.81,NO,NO,YES,NO,NO
1304,16-Jan-23,Communication Skills,Internal,Completed,Jayfort,Carrie Anderson,3,405.08,NO,YES,NO,NO,NO
1305,08-Jul-23,Technical Skills,Internal,Failed,Lake Jaredstad,Carrie Anderson,3,784.22,NO,NO,NO,NO,YES
1306,13-Jul-23,Technical Skills,External,Failed,North Ashleytown,Donald Anderson,4,443.99,NO,NO,NO,NO,YES
1307,16-Nov-22,Technical Skills,Internal,Incomplete,Kimberlyhaven,Donald Anderson,3,609.9,NO,NO,NO,NO,YES
1308,10-Oct-22,Leadership Development,External,Failed,East Diana,Donald Anderson,5,742.16,NO,NO,YES,NO,NO
1309,09-Sep-22,Technical Skills,External,Failed,North Alexandria,Donald Anderson,3,517.74,NO,NO,NO,NO,YES
1310,16-Oct-22,Project Management,Internal,Incomplete,Williamsshire,Donald Anderson,4,350.59,NO,NO,NO,YES,NO
1311,17-Oct-22,Leadership Development,Internal,Incomplete,New Jacobton,Donald Anderson,1,546.94,NO,NO,YES,NO,NO
1312,29-Apr-23,Communication Skills,Internal,Completed,West Davidview,Donald Anderson,4,514.37,NO,YES,NO,NO,NO
1313,25-Oct-22,Leadership Development,Internal,Incomplete,West Christopher,Donald Anderson,5,786.98,NO,NO,YES,NO,NO
1314,18-Mar-23,Project Management,Internal,Passed,New Dennis,Donald Anderson,4,852.21,NO,NO,NO,YES,NO
1315,29-Jul-23,Communication Skills,Internal,Failed,Port Kelly,Gregory Davis,4,761.63,NO,YES,NO,NO,NO
1316,20-Apr-23,Technical Skills,External,Passed,South Micheleton,Gregory Davis,5,202.62,NO,NO,NO,NO,YES
1317,20-Aug-22,Communication Skills,Internal,Passed,West Jacob,Gregory Davis,5,414.75,NO,YES,NO,NO,NO
1318,17-Oct-22,Communication Skills,Internal,Completed,Angelastad,Gregory Davis,4,344.55,NO,YES,NO,NO,NO
1319,19-May-23,Project Management,Internal,Failed,Lake Kenneth,Gregory Davis,1,777.46,NO,NO,NO,YES,NO
1320,25-Aug-22,Leadership Development,External,Completed,Matthewhaven,Gregory Davis,3,948.71,NO,NO,YES,NO,NO
1321,19-Jan-23,Customer Service,Internal,Passed,New Kimberly,Gregory Davis,5,308.77,YES,NO,NO,NO,NO
1322,24-Feb-23,Customer Service,External,Incomplete,Goodmouth,Gregory Davis,1,891.25,YES,NO,NO,NO,NO
1323,30-Mar-23,Customer Service,Internal,Passed,East Lindsay,Gregory Davis,2,659.9,YES,NO,NO,NO,NO
1324,30-Sep-22,Project Management,Internal,Failed,Lake Theresa,Gregory Davis,2,858.72,NO,NO,NO,YES,NO
1325,28-Mar-23,Project Management,External,Failed,Victorville,Gregory Davis,5,380.24,NO,NO,NO,YES,NO
1326,01-May-23,Leadership Development,External,Passed,Flemingport,Gregory Davis,5,505.4,NO,NO,YES,NO,NO
1327,02-Jul-23,Leadership Development,Internal,Passed,Abbottton,Gregory Davis,3,609.01,NO,NO,YES,NO,NO
1328,24-Mar-23,Customer Service,Internal,Failed,West Erinhaven,Gregory Davis,3,656.38,YES,NO,NO,NO,NO
1329,11-Jun-23,Project Management,External,Passed,Port Victoria,Gregory Davis,5,692.63,NO,NO,NO,YES,NO
1330,20-Nov-22,Project Management,Internal,Incomplete,East Michellechester,Lisa Jenkins,3,633.72,NO,NO,NO,YES,NO
1331,14-Sep-22,Communication Skills,Internal,Failed,Bradshawburgh,Lisa Jenkins,2,517.62,NO,YES,NO,NO,NO
1332,13-Aug-22,Leadership Development,External,Incomplete,Anthonystad,Lisa Jenkins,4,231.76,NO,NO,YES,NO,NO
1333,01-Mar-23,Customer Service,Internal,Passed,Thomasborough,Lisa Jenkins,2,605.12,YES,NO,NO,NO,NO
1334,01-Apr-23,Project Management,Internal,Failed,Shawnaport,Lisa Jenkins,1,297.12,NO,NO,NO,YES,NO
1335,20-Feb-23,Leadership Development,Internal,Incomplete,Port Joseph,Lisa Jenkins,2,384.43,NO,NO,YES,NO,NO
1336,19-Dec-22,Leadership Development,Internal,Passed,Lopezport,Lisa Jenkins,4,969.95,NO,NO,YES,NO,NO
1337,17-Jan-23,Project Management,External,Failed,Dawnchester,Lisa Jenkins,5,719.7,NO,NO,NO,YES,NO
1338,30-Oct-22,Leadership Development,External,Incomplete,Donnaland,Lisa Jenkins,1,355.83,NO,NO,YES,NO,NO
1339,24-Nov-22,Customer Service,Internal,Incomplete,Taylorhaven,Lisa Jenkins,3,754.47,YES,NO,NO,NO,NO
1340,06-Feb-23,Leadership Development,External,Incomplete,Dennishaven,Lisa Jenkins,2,890.39,NO,NO,YES,NO,NO
1341,14-Feb-23,Project Management,Internal,Passed,West Ryan,Lisa Jenkins,3,268.78,NO,NO,NO,YES,NO
1342,28-Jan-23,Project Management,Internal,Failed,Smithborough,Lisa Jenkins,4,930.72,NO,NO,NO,YES,NO
1343,02-Sep-22,Customer Service,External,Completed,West Catherineton,Lori Smith,5,924.85,YES,NO,NO,NO,NO
1344,01-Nov-22,Technical Skills,Internal,Incomplete,Port Jesse,Lori Smith,5,284.38,NO,NO,NO,NO,YES
1345,30-Nov-22,Communication Skills,Internal,Passed,Lisaberg,Lori Smith,1,395.1,NO,YES,NO,NO,NO
1346,02-Jul-23,Technical Skills,External,Failed,Bellview,Lori Smith,2,501.64,NO,NO,NO,NO,YES
1347,22-Oct-22,Communication Skills,Internal,Failed,New Vernonberg,Lori Smith,5,792.72,NO,YES,NO,NO,NO
1348,01-Aug-23,Technical Skills,Internal,Completed,Lake Peter,Lori Smith,4,594.15,NO,NO,NO,NO,YES
1349,26-Nov-22,Technical Skills,Internal,Incomplete,Mooreshire,Lori Smith,3,870.01,NO,NO,NO,NO,YES
1350,29-Jan-23,Leadership Development,Internal,Incomplete,North Miguelport,Lori Smith,2,610.06,NO,NO,YES,NO,NO
1351,20-Dec-22,Project Management,Internal,Passed,Port Brian,Lori Smith,2,278.16,NO,NO,NO,YES,NO
1352,01-Nov-22,Communication Skills,Internal,Completed,Smithchester,Lori Smith,4,218.93,NO,YES,NO,NO,NO
1353,16-Dec-22,Communication Skills,Internal,Incomplete,Clarkehaven,Lori Smith,5,179.21,NO,YES,NO,NO,NO
1354,03-Aug-23,Communication Skills,Internal,Failed,Aprilville,Lori Smith,2,983.37,NO,YES,NO,NO,NO
1355,13-Mar-23,Project Management,Internal,Completed,West Mark,Lori Smith,5,534.28,NO,NO,NO,YES,NO
1356,06-Apr-23,Technical Skills,Internal,Incomplete,Michellefort,Lori Smith,3,301.39,NO,NO,NO,NO,YES
1357,26-May-23,Project Management,External,Incomplete,Williamview,Lori Smith,3,231.65,NO,NO,NO,YES,NO
1358,10-Aug-22,Communication Skills,Internal,Completed,Danielchester,Lori Smith,2,994.81,NO,YES,NO,NO,NO
1359,14-Feb-23,Customer Service,External,Incomplete,South Lisaview,Lori Smith,4,729.91,YES,NO,NO,NO,NO
1360,20-Sep-22,Leadership Development,Internal,Passed,North Anthonyberg,Lori Smith,2,538.02,NO,NO,YES,NO,NO
1361,09-Oct-22,Project Management,Internal,Failed,Port Davidfurt,Stephen Chandler,4,903.88,NO,NO,NO,YES,NO
1362,29-Aug-22,Customer Service,Internal,Passed,Lake Allisonhaven,Stephen Chandler,4,196.94,YES,NO,NO,NO,NO
1363,15-Dec-22,Project Management,Internal,Completed,Danielleburgh,Stephen Chandler,2,285.83,NO,NO,NO,YES,NO
1364,28-Dec-22,Project Management,External,Incomplete,Poolemouth,Stephen Chandler,4,818.6,NO,NO,NO,YES,NO
1365,10-Apr-23,Leadership Development,External,Incomplete,Anthonybury,Stephen Chandler,1,610.97,NO,NO,YES,NO,NO
1366,18-Nov-22,Technical Skills,Internal,Completed,East David,Stephen Chandler,1,762.83,NO,NO,NO,NO,YES
1367,20-Sep-22,Project Management,External,Incomplete,Medinafort,Stephen Chandler,5,438.44,NO,NO,NO,YES,NO
1368,19-Oct-22,Project Management,Internal,Incomplete,East Briantown,Stephen Chandler,4,271.9,NO,NO,NO,YES,NO
1369,31-Jan-23,Communication Skills,Internal,Incomplete,Danatown,Stephen Chandler,2,629.2,NO,YES,NO,NO,NO
1370,06-Sep-22,Leadership Development,Internal,Incomplete,Marshallland,Stephen Chandler,1,850.28,NO,NO,YES,NO,NO
1371,01-Oct-22,Leadership Development,External,Passed,New Brittanyshire,Stephen Chandler,1,321.25,NO,NO,YES,NO,NO
1372,03-Jun-23,Customer Service,Internal,Passed,Ericamouth,Stephen Chandler,1,475.32,YES,NO,NO,NO,NO
1373,08-Sep-22,Leadership Development,External,Failed,West Anthony,Stephen Chandler,4,847.2,NO,NO,YES,NO,NO
1374,08-Oct-22,Customer Service,Internal,Completed,Colemanton,Ashley Miller,1,983.35,YES,NO,NO,NO,NO
1375,25-Jun-23,Technical Skills,External,Passed,North Shawnville,Ashley Miller,3,880.9,NO,NO,NO,NO,YES
1376,02-Aug-23,Customer Service,External,Completed,South Kimberly,Ashley Miller,3,795.72,YES,NO,NO,NO,NO
1377,20-Jun-23,Communication Skills,Internal,Completed,Port Kevinland,Ashley Miller,2,909.56,NO,YES,NO,NO,NO
1378,28-Jan-23,Communication Skills,Internal,Failed,New Ashleyburgh,Ashley Miller,5,145.7,NO,YES,NO,NO,NO
1379,06-Mar-23,Communication Skills,Internal,Passed,Joneston,Ashley Miller,1,397.48,NO,YES,NO,NO,NO
1380,26-May-23,Communication Skills,Internal,Failed,West David,Ashley Miller,3,326.7,NO,YES,NO,NO,NO
1381,20-Sep-22,Leadership Development,Internal,Failed,East Amy,Ashley Miller,4,718.16,NO,NO,YES,NO,NO
1382,21-Feb-23,Communication Skills,Internal,Passed,Jameschester,Ashley Miller,5,162.46,NO,YES,NO,NO,NO
1383,15-Jan-23,Customer Service,Internal,Completed,Port Marie,Ashley Miller,3,924.64,YES,NO,NO,NO,NO
1384,04-Oct-22,Leadership Development,Internal,Passed,Carrollfort,Ashley Miller,4,628.48,NO,NO,YES,NO,NO
1385,27-Jun-23,Communication Skills,Internal,Passed,Michaeltown,Ashley Miller,1,678.07,NO,YES,NO,NO,NO
1386,29-Jun-23,Technical Skills,External,Passed,West Hannah,Ashley Miller,1,106.91,NO,NO,NO,NO,YES
1387,20-Dec-22,Communication Skills,Internal,Incomplete,Banksland,Ashley Miller,1,195.95,NO,YES,NO,NO,NO
1388,18-Apr-23,Communication Skills,Internal,Completed,Port Nancy,Ashley Miller,1,918.34,NO,YES,NO,NO,NO
1389,16-Jan-23,Communication Skills,Internal,Incomplete,Castilloville,Ashley Miller,3,425.34,NO,YES,NO,NO,NO
1390,03-Mar-23,Communication Skills,Internal,Completed,Port Kelly,Ashley Miller,3,512.53,NO,YES,NO,NO,NO
1391,05-Feb-23,Leadership Development,External,Completed,Andersonland,Ashley Miller,3,146.48,NO,NO,YES,NO,NO
1392,20-Apr-23,Leadership Development,External,Completed,North Coleview,Ashley Miller,3,578.62,NO,NO,YES,NO,NO
1393,02-Apr-23,Technical Skills,External,Failed,Danastad,Stacy Leonard,3,255.61,NO,NO,NO,NO,YES
1394,13-Feb-23,Leadership Development,Internal,Passed,Michelleburgh,Stacy Leonard,5,370.26,NO,NO,YES,NO,NO
1395,28-Dec-22,Communication Skills,Internal,Failed,Hamiltonberg,Stacy Leonard,2,302.97,NO,YES,NO,NO,NO
1396,13-Sep-22,Communication Skills,Internal,Completed,Rodriguezmouth,Stacy Leonard,3,632.28,NO,YES,NO,NO,NO
1397,01-Mar-23,Customer Service,Internal,Incomplete,North Trevor,Stacy Leonard,2,669.41,YES,NO,NO,NO,NO
1398,04-Jan-23,Communication Skills,Internal,Passed,Olsonmouth,Stacy Leonard,3,191.99,NO,YES,NO,NO,NO
1399,02-May-23,Customer Service,Internal,Incomplete,Leahburgh,Stacy Leonard,2,695.11,YES,NO,NO,NO,NO
1400,06-Aug-22,Communication Skills,Internal,Failed,New Melissachester,Stacy Leonard,2,634.92,NO,YES,NO,NO,NO
1401,03-Jul-23,Communication Skills,Internal,Incomplete,Madisonview,Stacy Leonard,5,873.98,NO,YES,NO,NO,NO
1402,14-Oct-22,Communication Skills,Internal,Passed,Lake Sarah,Stacy Leonard,3,602.33,NO,YES,NO,NO,NO
1403,08-Jun-23,Technical Skills,Internal,Failed,Lake Christopherfort,Stacy Leonard,3,807.02,NO,NO,NO,NO,YES
1404,02-Oct-22,Project Management,Internal,Completed,North Ian,Stacy Leonard,4,411.94,NO,NO,NO,YES,NO
1405,15-Sep-22,Customer Service,External,Completed,East Jaime,Stacy Leonard,4,537.73,YES,NO,NO,NO,NO
1406,03-May-23,Technical Skills,Internal,Incomplete,Fordborough,Stacy Leonard,5,930.1,NO,NO,NO,NO,YES
1407,23-Nov-22,Communication Skills,Internal,Completed,Toddport,Stacy Leonard,3,249.66,NO,YES,NO,NO,NO
1408,24-Dec-22,Communication Skills,Internal,Passed,Hunterfort,Stacy Leonard,5,691.82,NO,YES,NO,NO,NO
1409,23-Aug-22,Customer Service,Internal,Passed,Ortegafort,David Rodriguez,4,938.59,YES,NO,NO,NO,NO
1410,25-Nov-22,Project Management,External,Completed,North Russellstad,David Rodriguez,1,746.8,NO,NO,NO,YES,NO
1411,14-Dec-22,Technical Skills,External,Incomplete,Beardland,David Rodriguez,1,690.75,NO,NO,NO,NO,YES
1412,24-Aug-22,Project Management,External,Incomplete,Andreahaven,David Rodriguez,4,544.19,NO,NO,NO,YES,NO
1413,17-Feb-23,Technical Skills,Internal,Completed,Deleonborough,David Rodriguez,5,918.34,NO,NO,NO,NO,YES
1414,21-Jan-23,Customer Service,Internal,Failed,North Vincentstad,David Rodriguez,3,997.2,YES,NO,NO,NO,NO
1415,28-Dec-22,Customer Service,Internal,Incomplete,Aaronburgh,David Rodriguez,3,633.96,YES,NO,NO,NO,NO
1416,27-Oct-22,Customer Service,External,Passed,Fordside,David Rodriguez,2,638.69,YES,NO,NO,NO,NO
1417,05-Jan-23,Project Management,Internal,Passed,North James,David Rodriguez,1,643.82,NO,NO,NO,YES,NO
1418,24-Jun-23,Project Management,External,Failed,Lake Davidbury,David Rodriguez,1,840.76,NO,NO,NO,YES,NO
1419,13-Apr-23,Leadership Development,Internal,Passed,Port Hannahhaven,David Rodriguez,1,108.04,NO,NO,YES,NO,NO
1420,16-Feb-23,Communication Skills,Internal,Completed,Kevinfort,David Rodriguez,5,889.57,NO,YES,NO,NO,NO
1421,08-Dec-22,Customer Service,Internal,Completed,Kevinmouth,David Rodriguez,5,835.97,YES,NO,NO,NO,NO
1422,13-Apr-23,Technical Skills,Internal,Failed,Lake Lauren,David Rodriguez,3,585.66,NO,NO,NO,NO,YES
1423,15-Mar-23,Communication Skills,Internal,Passed,Hernandezstad,David Rodriguez,3,255.55,NO,YES,NO,NO,NO
1424,05-Mar-23,Technical Skills,External,Incomplete,Port Christiantown,David Rodriguez,4,695.24,NO,NO,NO,NO,YES
1425,13-Mar-23,Technical Skills,Internal,Failed,Beckland,David Rodriguez,1,850.15,NO,NO,NO,NO,YES
1426,02-Dec-22,Project Management,External,Completed,Mcfarlandside,David Rodriguez,3,938.04,NO,NO,NO,YES,NO
1427,25-Apr-23,Project Management,External,Passed,Brettview,David Rodriguez,1,684.24,NO,NO,NO,YES,NO
1428,30-Aug-22,Technical Skills,Internal,Failed,South Crystal,David Rodriguez,5,956.11,NO,NO,NO,NO,YES
1429,26-Nov-22,Communication Skills,Internal,Failed,Nicholsview,David Rodriguez,4,441.43,NO,YES,NO,NO,NO
1430,26-Aug-22,Leadership Development,External,Passed,New Robertfurt,David Rodriguez,4,193.99,NO,NO,YES,NO,NO
1431,15-Oct-22,Technical Skills,External,Failed,Kellyland,David Rodriguez,3,790.72,NO,NO,NO,NO,YES
1432,06-Aug-22,Communication Skills,Internal,Completed,Patelstad,David Rodriguez,4,894.75,NO,YES,NO,NO,NO
1433,18-Sep-22,Customer Service,Internal,Passed,South Jose,David Rodriguez,4,863.73,YES,NO,NO,NO,NO
1434,27-Apr-23,Project Management,External,Incomplete,Patriciamouth,David Rodriguez,2,746.99,NO,NO,NO,YES,NO
1435,21-Sep-22,Leadership Development,Internal,Passed,Morganshire,David Rodriguez,4,360.38,NO,NO,YES,NO,NO
1436,26-Aug-22,Technical Skills,Internal,Incomplete,New Emilyland,David Rodriguez,1,298.3,NO,NO,NO,NO,YES
1437,28-Dec-22,Leadership Development,External,Passed,South Rickyton,David Rodriguez,3,537.12,NO,NO,YES,NO,NO
1438,12-May-23,Customer Service,External,Passed,Lake Tony,George Swanson,2,996.18,YES,NO,NO,NO,NO
1439,20-Jun-23,Communication Skills,Internal,Completed,Roseberg,George Swanson,4,764.43,NO,YES,NO,NO,NO
1440,13-Nov-22,Communication Skills,Internal,Failed,Jessetown,George Swanson,5,490.33,NO,YES,NO,NO,NO
1441,23-Oct-22,Customer Service,Internal,Incomplete,Gallowaychester,George Swanson,4,758.41,YES,NO,NO,NO,NO
1442,21-Feb-23,Technical Skills,External,Incomplete,Kingview,George Swanson,3,367.56,NO,NO,NO,NO,YES
1443,03-May-23,Leadership Development,Internal,Failed,Sarahberg,George Swanson,5,582.49,NO,NO,YES,NO,NO
1444,30-Jan-23,Leadership Development,External,Incomplete,New Jennaton,George Swanson,2,561.14,NO,NO,YES,NO,NO
1445,20-Jul-23,Communication Skills,Internal,Passed,Kathleenhaven,George Swanson,5,458.8,NO,YES,NO,NO,NO
1446,06-Feb-23,Communication Skills,Internal,Passed,Jenniferville,George Swanson,3,207.17,NO,YES,NO,NO,NO
1447,26-May-23,Technical Skills,External,Completed,Merrittstad,George Swanson,4,784.89,NO,NO,NO,NO,YES
1448,06-Aug-22,Leadership Development,Internal,Failed,Billymouth,George Swanson,5,151.43,NO,NO,YES,NO,NO
1449,09-Oct-22,Customer Service,Internal,Passed,Shermanhaven,George Swanson,5,675.71,YES,NO,NO,NO,NO
1450,23-Jun-23,Project Management,Internal,Incomplete,Whitefurt,George Swanson,5,436.63,NO,NO,NO,YES,NO
